cohort_date,period_date,users
2020-09-28,2020-09-28,784080
2020-09-28,2020-10-05,291347
2020-09-28,2020-10-12,144925
2020-09-28,2020-10-19,105378
2020-09-28,2020-10-26,93739
2020-09-28,2020-11-02,87248
2020-09-28,2020-11-09,70060
2020-09-28,2020-11-16,70988
2020-09-28,2020-11-23,58194
2020-09-28,2020-11-30,62619
2020-09-28,2020-12-07,57427
2020-09-28,2020-12-14,30351
2020-09-28,2020-12-21,11265
2020-09-28,2020-12-28,16785
2020-09-28,2021-01-04,18025
2020-09-28,2021-01-11,14566
2020-09-28,2021-01-18,16918
2020-09-28,2021-01-25,16989
2020-09-28,2021-02-01,13504
2020-09-28,2021-02-08,6839
2020-09-28,2021-02-15,12542
2020-10-05,2020-10-05,911358
2020-10-05,2020-10-12,394413
2020-10-05,2020-10-19,237359
2020-10-05,2020-10-26,177981
2020-10-05,2020-11-02,149598
2020-10-05,2020-11-09,144153
2020-10-05,2020-11-16,132134
2020-10-05,2020-11-23,111755
2020-10-05,2020-11-30,127710
2020-10-05,2020-12-07,97947
2020-10-05,2020-12-14,52924
2020-10-05,2020-12-21,22579
2020-10-05,2020-12-28,11206
2020-10-05,2021-01-04,25961
2020-10-05,2021-01-11,28121
2020-10-05,2021-01-18,30338
2020-10-05,2021-01-25,33955
2020-10-05,2021-02-01,27095
2020-10-05,2021-02-08,18985
2020-10-05,2021-02-15,19174
2020-10-12,2020-10-12,802086
2020-10-12,2020-10-19,281544
2020-10-12,2020-10-26,156162
2020-10-12,2020-11-02,107356
2020-10-12,2020-11-09,89848
2020-10-12,2020-11-16,74981
2020-10-12,2020-11-23,69417
2020-10-12,2020-11-30,80028
2020-10-12,2020-12-07,66735
2020-10-12,2020-12-14,47557
2020-10-12,2020-12-21,32835
2020-10-12,2020-12-28,23526
2020-10-12,2021-01-04,25667
2020-10-12,2021-01-11,28199
2020-10-12,2021-01-18,17962
2020-10-12,2021-01-25,19139
2020-10-12,2021-02-01,25852
2020-10-12,2021-02-08,29344
2020-10-12,2021-02-15,24003
2020-10-19,2020-10-19,911472
2020-10-19,2020-10-26,304111
2020-10-19,2020-11-02,141729
2020-10-19,2020-11-09,97885
2020-10-19,2020-11-16,81630
2020-10-19,2020-11-23,58811
2020-10-19,2020-11-30,58567
2020-10-19,2020-12-07,44355
2020-10-19,2020-12-14,31857
2020-10-19,2020-12-21,28517
2020-10-19,2020-12-28,6776
2020-10-19,2021-01-04,11334
2020-10-19,2021-01-11,18066
2020-10-19,2021-01-18,18138
2020-10-19,2021-01-25,18095
2020-10-19,2021-02-01,24955
2020-10-19,2021-02-08,17998
2020-10-19,2021-02-15,19289
2020-10-26,2020-10-26,853934
2020-10-26,2020-11-02,309372
2020-10-26,2020-11-09,175276
2020-10-26,2020-11-16,116848
2020-10-26,2020-11-23,77057
